frame,video_time,game_time,type,team,player,detail,extra
frame_035475,9:51,10:54,player_status,Q9(green),Mo,knocked,defeated
frame_038071,10:35,10:11,player_status,MBA(purple),yuvel11r,alive,knocked
frame_038143,10:36,10:10,player_status,MBA(purple),skiteyyy,defeated,alive
frame_038269,10:38,10:08,player_status,MBA(purple),Bulldo,alive,knocked
frame_038303,10:39,10:07,player_status,MBA(purple),skiteyyy,alive,eliminated
frame_038303,10:39,10:07,player_status,MBA(purple),Bulldo,knocked,defeated
frame_038303,10:39,10:07,player_status,MBA(purple),yuvel11r,knocked,eliminated
frame_038469,10:41,10:04,player_status,MG(red),Onigiri,alive,knocked
frame_038529,10:42,10:03,player_status,MBA(purple),Bulldo,defeated,eliminated
frame_038623,10:44,10:02,player_status,MBA(purple),Bulldo,defeated,eliminated
frame_038631,10:44,10:02,player_status,MG(red),eNvyx,alive,knocked
frame_038657,10:44,10:01,player_status,FN(blue),nhrir,alive,knocked
frame_038743,10:46,10:00,player_status,FN(blue),nhrir,knocked,defeated
frame_038745,10:46,10:00,player_status,FN(blue),usbishka,alive,knocked
frame_038859,10:48,9:58,player_status,ESG(yellow),DT,alive,knocked
frame_038891,10:48,9:57,player_status,FN(blue),usbishka,knocked,defeated
frame_038995,10:50,9:56,player_status,FN(blue),nhrir,knocked,defeated
frame_039031,10:51,9:55,player_status,MG(red),Onigiri,knocked,defeated
frame_039039,10:51,9:55,player_status,FN(blue),nhrir,knocked,defeated
frame_039047,10:51,9:55,player_status,FN(blue),nhrir,knocked,defeated
frame_039065,10:51,9:54,player_status,MG(red),Onigiri,knocked,defeated
frame_039071,10:51,9:54,player_status,MBA(purple),Bulldo,defeated,eliminated
frame_039073,10:51,9:54,player_status,FN(blue),nhrir,knocked,defeated
frame_039099,10:52,9:54,player_status,MBA(purple),Bulldo,defeated,eliminated
frame_039117,10:52,9:54,player_status,MG(red),Onigiri,knocked,defeated
frame_039127,10:52,9:53,player_status,FN(blue),nhrir,knocked,defeated
